ward,sub_county,ward_code,lat,lon,soil_match_level,soil_type,soil_ph,organic_matter,nitrogen,phosphorus,potassium,target_crop,yield_kg_per_ha,soil_data_note
West Yimbo,Bondo,1175,-0.053923,34.058034,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
West Sakwa,Bondo,1179,-0.080209,34.214626,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
West Asembo,Rarieda,1182,-0.149214,34.342518,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Central Gem,Gem,1171,0.069831,34.468354,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Ukwala,Ugenya,1157,0.200474,34.205753,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
North Gem,Gem,1169,0.113575,34.41848,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Siaya Township,Alego Usonga,1166,0.047599,34.286572,ward,loam,6.5,2.1,0.18,18,140,Maize,3200,GPS provides location only; soil values come from KALRO or external soil measurements.
North Ugenya,Ugenya,1158,0.26605,34.228385,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
West Alego,Alego Usonga,1164,0.114804,34.170656,sub_county,loam,6.5,2.1,0.18,18,140,Maize,3200,GPS provides location only; soil values come from KALRO or external soil measurements.
North Uyoma,Rarieda,1183,-0.251547,34.340507,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Sigomere,Ugunja,1161,0.219198,34.35926,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
South Sakwa,Bondo,1177,-0.179467,34.238573,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Central Sakwa,Bondo,1176,-0.155501,34.158347,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
South East Alego,Alego Usonga,1168,0.0022,34.268626,sub_county,loam,6.5,2.1,0.18,18,140,Maize,3200,GPS provides location only; soil values come from KALRO or external soil measurements.
South Uyoma,Rarieda,1184,-0.344221,34.327816,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
East Gem,Gem,1173,0.028138,34.516421,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
West Gem,Gem,1170,0.03441,34.419607,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Central Alego,Alego Usonga,1165,0.080131,34.229459,sub_county,loam,6.5,2.1,0.18,18,140,Maize,3200,GPS provides location only; soil values come from KALRO or external soil measurements.
Ugunja,Ugunja,1162,0.198933,34.283786,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
North Alego,Alego Usonga,1167,0.096777,34.326061,sub_county,loam,6.5,2.1,0.18,18,140,Maize,3200,GPS provides location only; soil values come from KALRO or external soil measurements.
East Asembo,Rarieda,1181,-0.128855,34.397763,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
East Ugenya,Ugenya,1159,0.256636,34.329601,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
North Sakwa,Bondo,1180,-0.094527,34.30832,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Yala Township,Gem,1172,0.100621,34.528844,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Sidindi,Ugunja,1160,0.174947,34.380237,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
South Gem,Gem,1174,-0.025764,34.437919,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
West Ugenya,Ugenya,1156,0.209653,34.151466,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Usonga,Alego Usonga,1163,0.071069,34.100721,sub_county,loam,6.5,2.1,0.18,18,140,Maize,3200,GPS provides location only; soil values come from KALRO or external soil measurements.
West Uyoma,Rarieda,1185,-0.280406,34.295697,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
Yimbo East,Bondo,1178,-0.017855,34.13625,missing,,,,,,,,,GPS provides location only; soil values come from KALRO or external soil measurements.
